"Temperature","Humidity","Heat Index","LPG","CO","Smoke","CO2","Toleune","NH4","Acetone","Dust density","AQI"]
['74.80,32.20,109.20,0.00549,0.00307,0.01402,216.9952.97,18.56,54.16,14.60,106.15,326\n']
['75.00,32.20,109.35,0.00543,0.00308,0.01408,216.4053.57,18.81,54.69,14.79,106.15,327\n']
['74.80,32.20,109.20,0.00528,0.00300,0.01374,215.8152.68,18.43,53.89,14.50,106.15,327\n']
['74.70,32.20,109.13,0.00508,0.00282,0.01324,215.2352.38,18.31,53.63,14.40,106.15,325\n']
['74.80,32.30,109.80,0.00512,0.00282,0.01313,214.0651.80,18.06,53.11,14.21,106.15,325\n']
['74.80,32.20,109.20,0.00514,0.00283,0.01335,214.6452.09,18.18,53.37,14.31,106.15,325\n']
['74.70,32.20,109.13,0.00504,0.00279,0.01313,214.0651.80,18.06,53.11,14.21,106.15,325\n']
['74.90,32.20,109.27,0.00512,0.00282,0.01335,214.0652.09,18.18,53.37,14.31,106.15,325\n']
['74.70,32.20,109.13,0.00502,0.00277,0.01313,214.6452.38,18.31,53.63,14.40,106.15,325\n']
['74.80,32.20,109.20,0.00504,0.00279,0.01308,214.3552.38,18.31,53.63,14.40,106.15,325\n']
['74.90,32.20,109.27,0.00504,0.00276,0.01292,214.0652.38,18.31,53.63,14.40,106.15,325\n']
['74.90,32.20,109.27,0.00497,0.00274,0.01313,214.3552.68,18.43,53.89,14.50,106.15,325\n']
['74.70,32.30,109.72,0.00502,0.00277,0.01308,214.3552.97,18.56,54.16,14.60,106.15,325\n']
['74.80,32.30,109.80,0.00499,0.00277,0.01297,214.0652.68,18.43,53.89,14.50,106.15,325\n']
['74.70,32.30,109.72,0.00499,0.00276,0.01297,214.0652.38,18.31,53.63,14.40,105.32,324\n']
['74.60,32.30,109.65,0.00482,0.00260,0.01240,212.6151.50,17.94,52.86,14.12,106.15,323\n']
['74.70,32.20,109.13,0.00480,0.00261,0.01256,213.1951.80,18.06,53.11,14.21,106.15,324\n']
['74.60,32.30,109.65,0.00474,0.00256,0.01225,212.3251.50,17.94,52.86,14.12,106.15,323\n']
['74.60,32.30,109.65,0.00469,0.00252,0.01205,211.7551.50,17.94,52.86,14.12,106.15,323\n']
['74.70,32.20,109.13,0.00480,0.00263,0.01256,212.9052.09,18.18,53.37,14.31,106.15,324\n']
['74.60,32.30,109.65,0.00469,0.00249,0.01195,211.1850.93,17.70,52.34,13.93,106.98,322\n']
['74.60,32.30,109.65,0.00446,0.00236,0.01143,210.0450.07,17.34,51.58,13.66,106.15,320\n']
['74.60,32.30,109.65,0.00428,0.00223,0.01110,209.7549.23,16.99,50.84,13.39,106.15,320\n']
['74.60,32.20,109.05,0.00451,0.00236,0.01161,211.1850.64,17.58,52.09,13.84,106.15,320\n']
['74.60,32.20,109.05,0.00441,0.00231,0.01133,210.0450.07,17.34,51.58,13.66,106.15,320\n']
['74.70,32.20,109.13,0.00446,0.00235,0.01147,210.8951.21,17.82,52.60,14.03,106.15,321\n']
['74.40,32.30,109.50,0.00453,0.00244,0.01171,211.7551.21,17.82,52.60,14.03,106.15,322\n']
['74.70,32.20,109.13,0.00462,0.00247,0.01190,212.0451.80,18.06,53.11,14.21,106.15,322\n']
['74.70,32.20,109.13,0.00458,0.00243,0.01181,211.1851.50,17.94,52.86,14.12,106.15,320\n']
['74.70,32.20,109.13,0.00443,0.00229,0.01129,210.3250.64,17.58,52.09,13.84,106.15,320\n']
['74.80,32.30,109.80,0.00433,0.00223,0.01115,209.4750.36,17.46,51.84,13.75,106.15,320\n']
['74.80,32.30,109.80,0.00436,0.00228,0.01101,209.4750.07,17.34,51.58,13.66,106.15,319\n']
['74.60,32.30,109.65,0.00433,0.00228,0.01115,209.4750.36,17.46,51.84,13.75,105.32,320\n']
['74.60,32.30,109.65,0.00431,0.00227,0.01101,208.9049.51,17.11,51.08,13.48,106.15,319\n']
['74.60,32.30,109.65,0.00426,0.00221,0.01097,209.4750.07,17.34,51.58,13.66,106.15,319\n']
['74.60,32.30,109.65,0.00420,0.00216,0.01074,208.9049.79,17.22,51.33,13.57,106.15,318\n']
['74.60,32.30,109.65,0.00426,0.00217,0.01083,208.6249.51,17.11,51.08,13.48,106.15,318\n']
